tissue,bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa
conceptus,81.64,,,,,,,
connective tissue,,,,,96.64,,,
coronary artery,,,,,96.4,,,
corpus luteum,84.71000000000001,,,,,,,
cortical plate,,,,,97.725,,,
cranial nerve II,,,,,93.9,,,
cumulus cell,80.21,,,,,,,
decidua,,,,,96.125,,,
deltoid,,,,,90.92,,,
descending colon,89.79666666666667,,,,,,,
descending thoracic aorta,,,,,95.7,,,
digestive system secreted substance,94.54,,,,,,,
dorsal motor nucleus of vagus nerve,,,,,92.31,,,
dorsal root ganglion,,,,,95.25874999999999,,,
dorsal thalamus,89.71,,,,,,,
ectocervix,,,,,97.15799999999999,,,
embryonic head,,,,98.32,,,,
endocardial endothelium,,,,,,,,92.51
endocervix,,,,,96.31333333333333,,,
endometrium epithelium,,,,,98.44,,,
endothelial cell,,,,,94.53,,,
entorhinal cortex,,,,,96.8547619047619,,,
epididymis,,,,,,,,92.9
epithelial cell of pancreas,,,,,86.79,,,
epithelium of esophagus,,,,,98.97,,,
epithelium of mammary gland,,,,,97.10571428571428,,,
epithelium of nasopharynx,,,,,99.39,,,
esophagogastric junction muscularis propria,,,,,96.67454545454547,,,
esophagus mucosa,,,,,98.56181818181818,,,
esophagus squamous epithelium,,,,,99.06,,,
eye,,,,,98.04,,,
eyeball of camera-type eye,,,,95.2,,,,
fallopian tube,,,,,97.995,,,
female reproductive system,,,,,96.94,,,
floor plate of diencephalon,90.15,,,,,,,
forelimb bud,,,,,,,,98.67
fornix of vagina,89.96000000000001,,,,,,,
frontal pole,,,,,94.66499999999999,,,
fundus of stomach,,,,,96.54714285714284,,,
ganglionic eminence,,,,,99.015,,,
gastrocnemius,,,,,96.60615384615386,,,
germinal epithelium of ovary,,,,,97.85,,,
gingiva,,,,,98.955,,,
gingival epithelium,,,,,98.81,,,
globus pallidus,,,,,93.72,,,
head,,97.24333333333334,,,,,,
hindlimb bud,,,,,,,,98.74
hippocampal formation,,,,,,,,91.44
ileal mucosa,,,,,88.47,,,
ileocecal valve,90.5,,,,,,,
inferior olivary complex,,,,,93.7,,,
inferior vagus X ganglion,,,,,96.37666666666667,,,
infraspinatus muscle,84.86500000000001,,,,,,,
inner cell mass,,,74.265,,,,,
intercostal muscle,83.13,,,,,,,
intestine,,,,,97.7675,,,
intramuscular adipose tissue,84.11,,,,,,,
islet of Langerhans,,,,,95.41277777777778,,,
isthmus of fallopian tube,91.06,,,,,,,
jejunal mucosa,,,,,98.51,,,
keratinocyte,,95.89,,,,,,
kidney epithelium,,,,,92.2,,,
laryngeal cartilage,81.96,,,,,,,
lateral globus pallidus,,,,,98.095,,,
lateral nuclear group of thalamus,,,,,98.10499999999999,,,
layer of synovial tissue,,,,,93.16555555555556,,,
left adrenal gland,,,,,96.4925,,,
left adrenal gland cortex,,,,,96.525,,,
left cardiac atrium,,87.3,,,,,,
