Gene ID	Gene name	Anatomical entity name	Expression	Call quality	Expression score
ENSBTAG00000004428	H2AZ1	leukocyte	present	gold quality	94.71
ENSBTAG00000004428	H2AZ1	leukocyte	present	gold quality	95.77
ENSBTAG00000004428	H2AZ1	leukocyte	present	gold quality	91.61
ENSBTAG00000004428	H2AZ1	leukocyte	present	gold quality	89.95
ENSBTAG00000004428	H2AZ1	leukocyte	present	gold quality	95.81
ENSBTAG00000004428	H2AZ1	leukocyte	present	gold quality	90.15
ENSBTAG00000004428	H2AZ1	leukocyte	present	gold quality	96.07
ENSBTAG00000004428	H2AZ1	leukocyte	present	gold quality	95.29
ENSBTAG00000004428	H2AZ1	leukocyte	present	gold quality	95.69
ENSBTAG00000004428	H2AZ1	neutrophil	present	gold quality	84.73
ENSBTAG00000004428	H2AZ1	uterine cervix	present	gold quality	96.18
ENSBTAG00000004428	H2AZ1	uterine cervix	present	gold quality	96.18
ENSBTAG00000004428	H2AZ1	pituitary gland	present	gold quality	94.74
ENSBTAG00000004428	H2AZ1	pituitary gland	present	gold quality	95.63
ENSBTAG00000004428	H2AZ1	pituitary gland	present	gold quality	93.97
ENSBTAG00000004428	H2AZ1	pituitary gland	present	gold quality	92.7
ENSBTAG00000004428	H2AZ1	pituitary gland	present	gold quality	94.59
ENSBTAG00000004428	H2AZ1	pituitary gland	present	gold quality	94.35
ENSBTAG00000004428	H2AZ1	zone of skin	present	gold quality	97.18
ENSBTAG00000004428	H2AZ1	zone of skin	present	gold quality	97.32
ENSBTAG00000004428	H2AZ1	zone of skin	present	gold quality	95.94
ENSBTAG00000004428	H2AZ1	lymph node	present	gold quality	96.76
ENSBTAG00000004428	H2AZ1	lymph node	present	gold quality	97.56
ENSBTAG00000004428	H2AZ1	fornix of vagina	present	gold quality	94.47
ENSBTAG00000004428	H2AZ1	fornix of vagina	present	gold quality	94.47
ENSBTAG00000004428	H2AZ1	ureter	present	gold quality	96.3
ENSBTAG00000004428	H2AZ1	ureter	present	gold quality	96.32
ENSBTAG00000004428	H2AZ1	urethra	present	gold quality	96.14
ENSBTAG00000004428	H2AZ1	urethra	present	gold quality	96.13
ENSBTAG00000004428	H2AZ1	adult mammalian kidney	present	gold quality	92.47
ENSBTAG00000004428	H2AZ1	adult mammalian kidney	present	gold quality	93.88
ENSBTAG00000004428	H2AZ1	adult mammalian kidney	present	gold quality	91.9
ENSBTAG00000004428	H2AZ1	adult mammalian kidney	present	gold quality	95.68
ENSBTAG00000004428	H2AZ1	blood	present	gold quality	96.67
ENSBTAG00000004428	H2AZ1	blood	present	gold quality	96.94
ENSBTAG00000004428	H2AZ1	blood	present	gold quality	96.66
ENSBTAG00000004428	H2AZ1	blood	present	gold quality	94.33
ENSBTAG00000004428	H2AZ1	renal medulla	present	gold quality	92.11
ENSBTAG00000004428	H2AZ1	renal medulla	present	gold quality	94.15
ENSBTAG00000004428	H2AZ1	tongue muscle	present	gold quality	95.25
ENSBTAG00000004428	H2AZ1	tongue muscle	present	gold quality	95.27
ENSBTAG00000004428	H2AZ1	longissimus muscle	present	gold quality	91.1
ENSBTAG00000004428	H2AZ1	longissimus muscle	present	gold quality	92.71
ENSBTAG00000004428	H2AZ1	longissimus muscle	present	gold quality	88.63
ENSBTAG00000004428	H2AZ1	prefrontal cortex	present	gold quality	95.38
ENSBTAG00000004428	H2AZ1	multicellular organism	present	gold quality	94.47
ENSBTAG00000004428	H2AZ1	testis	present	gold quality	90.53
ENSBTAG00000004428	H2AZ1	testis	present	gold quality	84.14
ENSBTAG00000004428	H2AZ1	testis	present	gold quality	84.12
ENSBTAG00000004428	H2AZ1	testis	present	gold quality	98.23
ENSBTAG00000004428	H2AZ1	testis	present	gold quality	98.53
ENSBTAG00000004428	H2AZ1	testis	present	gold quality	95.03
ENSBTAG00000004428	H2AZ1	ileocecal valve	present	gold quality	97.05
ENSBTAG00000004428	H2AZ1	aorta	present	gold quality	91.49
ENSBTAG00000004428	H2AZ1	aorta	present	gold quality	91.5
ENSBTAG00000004428	H2AZ1	heart	present	gold quality	90.2
ENSBTAG00000004428	H2AZ1	heart	present	gold quality	87.43
