gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,scapular muscle,53.04,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,53.04,53.04
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,semen,0.0,0.0,0,observed_zero,MACROH2A2:VGNC:55987,variant,0.0,0.0
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,semimembranosus muscle,51.70333333333334,4.861330407751908,3,present_gold,MACROH2A2:VGNC:55987,variant,51.70333333333334,51.70333333333334
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,semitendinosus,50.89333333333334,2.061754915923165,3,present_gold,MACROH2A2:VGNC:55987,variant,50.89333333333334,50.89333333333334
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,skeletal muscle tissue,72.47999999999999,19.841386040294665,4,present_gold,MACROH2A2:VGNC:55987,variant,72.47999999999999,72.47999999999999
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,spermatid,49.67,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,49.67,49.67
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,spermatocyte,53.07,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,53.07,53.07
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,spiral colon,47.27,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,47.27,47.27
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,spleen,50.048,2.5890867115645224,5,present_gold,MACROH2A2:VGNC:55987,variant,50.048,50.048
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,subcutaneous adipose tissue,56.42909090909091,5.284540575197534,11,present_gold,MACROH2A2:VGNC:55987,variant,56.42909090909091,56.42909090909091
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,supraspinatus muscle,54.63,0.0282842712474612,2,present_gold,MACROH2A2:VGNC:55987,variant,54.63,54.63
