tissue,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,mus_musculus,pan_troglodytes,sus_scrofa
subparaventricular zone,,,,,,77.51,,
substantia nigra pars compacta,,,,88.44999999999999,,,,
substantia propria of cornea,,,,,,86.925,,
subthalamic nucleus,,,,92.91,,,,
superior cervical ganglion,,,,,,82.09,,
superior colliculus,,,,,,81.35,,
superior surface of tongue,,,,86.79,,,,
superior vestibular nucleus,,,,90.20599999999999,,,,
suprachiasmatic nucleus,,,,,,76.14500000000001,,
supraoptic nucleus,,,,,,76.44,,
sural nerve,,,,71.66,,,,
synovial membrane of synovial joint,,70.35,,,,,,
tail skin,,,,,,84.74,,
tarsal region,,,,,,81.2,,
telencephalon lateral wall,,,,,,71.21,,
temporalis muscle,,,,,,79.59,,
tendon,,,,79.86,,,,
thoracic aorta,,,,80.72666666666667,,,,
tibial artery,,,,78.78,,,,
tibial nerve,,,,79.64272727272727,,,,
tibialis anterior,,,,,,81.985,,
tip of external ear,,,80.33,,,,,
trabecular bone tissue,,,,93.2875,,,,
tracheobronchial tree,,,,,,99.19,,
transverse colon,,,,84.551,,,,
triceps surae,,,,,,80.86,,
trigeminal ganglion,,,,82.24166666666666,,,,
trophectoderm,,71.66499999999999,,,,,,
trophoblast,,93.64,,,,,,
umbilical cord,,,,,,91.32,,
undifferentiated genital tubercle,,,,,,98.58500000000001,,
upper leg skin,,,,74.46,,,,
upper lobe of left lung,,,,81.01875,,,,
upper lobe of lung,,,,94.16,,,,
ureter,,,,,,93.84,,
ureter smooth muscle,,,,,,89.52,,
ureteric bud tip,,,,,,95.64,,
urethra,,,,77.89333333333333,,,,
urinary bladder urothelium,,,,,,79.4725,,
urogenital fold,,,,,,96.04,,
urothelium,,,,,,87.71,,
utricle of membranous labyrinth,,,,,,71.83,,
vagina,,,,73.38555555555556,,,,
vas deferens,,,,,,98.23666666666666,,
vastus lateralis,,,,,,81.97,,
vault of skull,,,,,,90.68,,
ventral horn of spinal cord,,,,,,82.255,,
ventromedial nucleus of hypothalamus,,,,,,82.01,,
vermiform appendix,,,,87.3275,,,,
vestibular epithelium,,,,,,84.2,,
vestibular membrane of cochlear duct,,,,,,66.67,,
vestibular organ,,,,,,86.9675,,
visual cortex,,,,,,79.315,,
white adipose tissue,,,,,,79.73714285714286,,
yolk sac,,,,,,97.97,,
