gene_name,species_dir,species_name,ensembl_gene_id,tissue,expression_score,map_label,class,agg_expression_score
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,eyeball of camera-type eye,86.83,H2AX:VGNC:109892,variant,86.83
H2AX,felis_catus,Felis catus,ENSFCAG00000051680,tip of external ear,80.33,H2AX:VGNC:109892,variant,80.33
H2AX,human,Homo sapiens,ENSG00000188486,oocyte,95.94,H2AX:HGNC:4739,variant,95.94
H2AX,human,Homo sapiens,ENSG00000188486,male germ line stem cell (sensu Vertebrata) in testis,81.64,H2AX:HGNC:4739,variant,81.64
H2AX,human,Homo sapiens,ENSG00000188486,granulocyte,91.38,H2AX:HGNC:4739,variant,91.38
H2AX,human,Homo sapiens,ENSG00000188486,monocyte,78.0,H2AX:HGNC:4739,variant,78.0
H2AX,human,Homo sapiens,ENSG00000188486,secondary oocyte,88.25,H2AX:HGNC:4739,variant,88.25
H2AX,human,Homo sapiens,ENSG00000188486,primordial germ cell in gonad,85.5,H2AX:HGNC:4739,variant,85.5
H2AX,human,Homo sapiens,ENSG00000188486,leukocyte,82.55,H2AX:HGNC:4739,variant,82.55
H2AX,human,Homo sapiens,ENSG00000188486,pancreatic ductal cell,83.37,H2AX:HGNC:4739,variant,83.37
H2AX,human,Homo sapiens,ENSG00000188486,bone marrow cell,93.42,H2AX:HGNC:4739,variant,93.29
H2AX,human,Homo sapiens,ENSG00000188486,bone marrow cell,93.89,H2AX:HGNC:4739,variant,93.29
H2AX,human,Homo sapiens,ENSG00000188486,bone marrow cell,95.98,H2AX:HGNC:4739,variant,93.29
H2AX,human,Homo sapiens,ENSG00000188486,bone marrow cell,93.21,H2AX:HGNC:4739,variant,93.29
H2AX,human,Homo sapiens,ENSG00000188486,bone marrow cell,92.69,H2AX:HGNC:4739,variant,93.29
H2AX,human,Homo sapiens,ENSG00000188486,bone marrow cell,90.55,H2AX:HGNC:4739,variant,93.29
H2AX,human,Homo sapiens,ENSG00000188486,stromal cell of endometrium,88.03,H2AX:HGNC:4739,variant,88.03
H2AX,human,Homo sapiens,ENSG00000188486,bronchial epithelial cell,75.31,H2AX:HGNC:4739,variant,74.5895238095238
H2AX,human,Homo sapiens,ENSG00000188486,bronchial epithelial cell,74.62,H2AX:HGNC:4739,variant,74.5895238095238
H2AX,human,Homo sapiens,ENSG00000188486,bronchial epithelial cell,75.77,H2AX:HGNC:4739,variant,74.5895238095238
