Gene ID	Gene name	Anatomical entity name	cell_mean_score	cell_std_score	cell_n	cell_status	Expression score	Expression std	Expression n	raw_row_count	qualifying_row_count	merged_gene_name	class
ENSG00000181218	H2AW	dorsolateral prefrontal cortex	83.06727272727272	2.2075601505240607	11	present_gold	83.06727272727272	2.2075601505240607	11	11	11	H2AC25	clustered
ENSG00000181218	H2AW	frontal cortex	82.81800000000001	1.433185263669703	5	present_gold	82.81800000000001	1.433185263669703	5	5	5	H2AC25	clustered
ENSG00000181218	H2AW	heart	77.623	5.574395931399204	10	present_gold	77.623	5.574395931399204	10	10	10	H2AC25	clustered
ENSG00000181218	H2AW	hindlimb stylopod muscle	64.64	5.642712113868647	2	present_gold	64.64	5.642712113868647	2	2	2	H2AC25	clustered
ENSG00000181218	H2AW	liver	53.722	4.950162286901982	10	present_gold	53.722	4.950162286901982	10	11	10	H2AC25	clustered
ENSG00000181218	H2AW	lung	67.73857142857143	4.330301870044892	7	present_gold	67.73857142857143	4.330301870044892	7	7	7	H2AC25	clustered
ENSG00000181218	H2AW	lymph node	74.685	7.785245660863882	2	present_gold	74.685	7.785245660863882	2	2	2	H2AC25	clustered
ENSG00000181218	H2AW	multicellular organism	74.59	0.0	1	present_gold	74.59	0.0	1	1	1	H2AC25	clustered
ENSG00000181218	H2AW	pituitary gland	80.308	3.1818226782075025	10	present_gold	80.308	3.1818226782075025	10	10	10	H2AC25	clustered
ENSG00000181218	H2AW	prefrontal cortex	84.11285714285714	2.5823420525156013	7	present_gold	84.11285714285714	2.5823420525156013	7	7	7	H2AC25	clustered
ENSG00000181218	H2AW	primary visual cortex	81.9	0.2969848480983512	2	present_gold	81.9	0.2969848480983512	2	2	2	H2AC25	clustered
ENSG00000181218	H2AW	skeletal muscle tissue	48.925	1.2374368670764582	2	present_gold	48.925	1.2374368670764582	2	4	2	H2AC25	clustered
ENSG00000181218	H2AW	spleen	79.5390909090909	1.2605669720046988	11	present_gold	79.5390909090909	1.2605669720046988	11	11	11	H2AC25	clustered
ENSG00000181218	H2AW	superior frontal gyrus	78.625	0.1626345596728987	2	present_gold	78.625	0.1626345596728987	2	2	2	H2AC25	clustered
ENSG00000181218	H2AW	temporal lobe	90.06	0.0	1	present_gold	90.06	0.0	1	1	1	H2AC25	clustered
ENSG00000181218	H2AW	testis	65.33375	2.7398171862892067	8	present_gold	65.33375	2.7398171862892067	8	8	8	H2AC25	clustered
ENSG00000184270	H2AC21	adult mammalian kidney	55.052	19.175994628701797	5	present_gold	55.052	19.175994628701797	5	11	5	H2AC21	clustered
ENSG00000184270	H2AC21	bone marrow	68.21	0.0	1	present_gold	68.21	0.0	1	1	1	H2AC21	clustered
ENSG00000184270	H2AC21	cerebellar cortex	36.06	1.0465180361560882	2	present_gold	36.06	1.0465180361560882	2	2	2	H2AC21	clustered
