gene_name,gene_class,tissue,candidate_level,species_n,combo_range,max_species,max_species_name,min_species,min_species_name,species_high,species_high_name,high_score,species_low,species_low_name,low_score,abs_diff
H2AC14,clustered,brain,high_confidence,5,60.47,felis_catus,Felis catus,canis_lupus_familiaris,Canis lupus familiaris,felis_catus,Felis catus,76.52,bos_taurus,Bos taurus,33.66,42.86
H2AC6,clustered,cerebellum,high_confidence,6,54.21416666666667,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,97.8075,canis_lupus_familiaris,Canis lupus familiaris,55.5725,42.23500000000001
H2AC13,clustered,cerebellum,conservative,4,52.572500000000005,equus_caballus,Equus caballus,human,Homo sapiens,bos_taurus,Bos taurus,69.31666666666666,human,Homo sapiens,27.325,41.99166666666666
H2AC6,clustered,adult mammalian kidney,high_confidence,7,64.89833333333334,pan_troglodytes,Pan troglodytes,felis_catus,Felis catus,bos_taurus,Bos taurus,67.4275,felis_catus,Felis catus,26.035,41.3925
H2AC17,clustered,testis,high_confidence,4,58.79333333333332,sus_scrofa,Sus scrofa,felis_catus,Felis catus,sus_scrofa,Sus scrofa,85.96,human,Homo sapiens,44.59285714285714,41.36714285714285
H2AC14,clustered,colon,conservative,4,53.85999999999999,sus_scrofa,Sus scrofa,macaca_mulatta,Macaca mulatta,sus_scrofa,Sus scrofa,96.47999999999999,human,Homo sapiens,55.437777777777775,41.042222222222215
H2AC6,clustered,prefrontal cortex,high_confidence,6,68.39111111111113,human,Homo sapiens,felis_catus,Felis catus,human,Homo sapiens,81.88111111111112,bos_taurus,Bos taurus,41.08,40.801111111111126
H2AC11,clustered,testis,high_confidence,6,54.6725,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,86.02,equus_caballus,Equus caballus,45.4225,40.5975
H2AC25,clustered,cerebral cortex,conservative,5,51.135000000000005,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,83.08,canis_lupus_familiaris,Canis lupus familiaris,42.875,40.205
H2AC25,clustered,hypothalamus,conservative,4,53.00124999999999,human,Homo sapiens,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,81.35125,sus_scrofa,Sus scrofa,41.325,40.02624999999999
H2AC25,clustered,hypothalamus,conservative,4,53.00124999999999,human,Homo sapiens,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,81.35125,bos_taurus,Bos taurus,41.805,39.54624999999999
H2AC20,clustered,liver,conservative,4,48.885714285714286,macaca_mulatta,Macaca mulatta,equus_caballus,Equus caballus,felis_catus,Felis catus,82.265,equus_caballus,Equus caballus,42.92,39.345
H2AC1,clustered,testis,high_confidence,7,58.35499999999999,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,74.38,felis_catus,Felis catus,35.96333333333333,38.416666666666664
H2AC14,clustered,cerebral cortex,high_confidence,4,59.2,sus_scrofa,Sus scrofa,human,Homo sapiens,sus_scrofa,Sus scrofa,82.47,bos_taurus,Bos taurus,44.16,38.31
H2AC21,clustered,testis,conservative,4,53.80333333333333,sus_scrofa,Sus scrofa,equus_caballus,Equus caballus,sus_scrofa,Sus scrofa,87.49,bos_taurus,Bos taurus,49.27,38.21999999999999
H2AC13,clustered,bone marrow,conservative,5,53.120000000000005,equus_caballus,Equus caballus,canis_lupus_familiaris,Canis lupus familiaris,equus_caballus,Equus caballus,93.62,bos_taurus,Bos taurus,55.44,38.18000000000001
